date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-03-26 00:00:00+00:00,258.44,258.68,246.36,246.52,63140169,62.5119903539,62.5700420397,59.5900555006,59.6287566245,252560676,0.0,1.0
2020-03-27 00:00:00+00:00,247.74,255.87,247.05,252.75,51054153,59.9238526941,61.8903535515,59.7569540974,61.1356816357,204216612,0.0,1.0
2020-03-30 00:00:00+00:00,254.81,255.52,249.4,250.74,41994110,61.6339586058,61.805694843,60.3253768544,60.6494987669,167976440,0.0,1.0
2020-03-31 00:00:00+00:00,254.29,262.49,252.0,255.6,49250501,61.5081799531,63.4916125522,60.9542701175,61.8250454049,197002004,0.0,1.0
2020-04-01 00:00:00+00:00,240.91,248.72,239.13,246.5,44054638,58.2717984683,60.1608970779,57.8412484651,59.623918984,176218552,0.0,1.0
2020-04-02 00:00:00+00:00,244.93,245.15,236.9,240.34,41483493,59.2441642059,59.2973782512,57.301851551,58.1339257145,165933972,0.0,1.0
2020-04-03 00:00:00+00:00,241.41,245.7,238.97,242.8,32470017,58.3927394805,59.4304133646,57.8025473412,58.7289554942,129880068,0.0,1.0
2020-04-06 00:00:00+00:00,262.47,263.11,249.38,250.9,50455071,63.4867749117,63.6415794072,60.3205392139,60.6881998908,201820284,0.0,1.0
2020-04-07 00:00:00+00:00,259.43,271.7,259.0,270.8,50721831,62.7514535579,65.7193459958,62.6474442875,65.5016521739,202887324,0.0,1.0
2020-04-08 00:00:00+00:00,266.07,267.37,261.23,262.74,42223821,64.3575501991,64.6719968307,63.1868412016,63.5520830583,168895284,0.0,1.0
2020-04-09 00:00:00+00:00,267.99,270.07,264.7,268.7,40529123,64.8219636857,65.3250782962,64.0261718258,64.9936999229,162116492,0.0,1.0
2020-04-13 00:00:00+00:00,273.25,273.7,265.83,268.31,32755731,66.0942631334,66.2031100443,64.2994985133,64.8993659335,131022924,0.0,1.0
2020-04-14 00:00:00+00:00,287.05,288.25,278.05,280.0,48748672,69.4322350684,69.7224934975,67.2552968499,67.7269667973,194994688,0.0,1.0
2020-04-15 00:00:00+00:00,284.43,286.33,280.63,282.4,32788641,68.7985041648,69.2580800109,67.8793524726,68.3074836555,131154564,0.0,1.0
2020-04-16 00:00:00+00:00,286.69,288.2,282.35,287.38,39281290,69.3451575397,69.7103993963,68.2953895543,69.5120561364,157125160,0.0,1.0
2020-04-17 00:00:00+00:00,282.8,286.95,276.86,284.69,53812478,68.4042364652,69.408046866,66.967457241,68.8613934911,215249912,0.0,1.0
